"ID_Beneficiario","Fecha_Intervencion","Municipio","Tipo_Actividad","Genero","Edad","Tipo_Poblacion","Costo_Intervencion","Nivel_Satisfaccion"
43,2025-08-15,"Ipiales","Formación a Docentes","Femenino",18,"Padre/Madre",NA,3
44,2024-06-01,"Cúcuta","Taller de Gestión del Riesgo","Masculino",16,"Lider Comunitario",18000,4
45,2025-07-03,"Pamplona","Entrega de Kits Escolares","Masculino",-3,"Docente",151000,4
46,2025-03-15,"Bucaramanga","Formación a Docentes","Femenino",15,"Padre/Madre",151000,4
47,2025-03-07,"Pasto","Entrega de Kits Escolares","Masculino",18,"Docente",156000,5
48,2025-02-11,NA,"Apoyo Psicosocial","Masculino",19,"Docente",137000,3
49,2025-05-31,"Cúcuta","Adecuación de Aulas","Masculino",21,"Padre/Madre",66000,5
50,2025-02-16,"Pamplona","Entrega de Kits Escolares","F",10,"Padre/Madre",178000,4
51,2025-05-09,"Cúcuta","Entrega de Kits Escolares","Femenino",30,"Padre/Madre",102000,5
52,2024-11-20,"Tibú","Entrega de Kits Escolares","M",1,"Estudiante",246000,2
53,2024-12-01,"Pamplona","Entrega de Kits Escolares","Femenino",15,"Docente",95000,4
54,2024-12-28,"Cúcuta","Apoyo Psicosocial","F",12,"Docente",198000,1
55,2024-02-10,"Arauca","Taller de Gestión del Riesgo","Femenino",-5,"Docente",240000,5
56,2024-06-30,"Bucaramanga","Entrega de Kits Escolares","Masculino",10,"Docente",147000,4
57,2025-08-21,"Tibú","Adecuación de Aulas","Femenino",19,"Padre/Madre",159000,3
58,2024-04-13,"Arauca","Apoyo Psicosocial","Masculino",23,"Docente",NA,3
59,2024-01-15,"Bucaramanga","Formación a Docentes","Femenino",-4,"Estudiante",59000,3
60,2024-11-03,"Arauca","Taller de Gestión del Riesgo","No binario",15,"Docente",179000,5
61,2025-06-07,"Bucaramanga","Entrega de Kits Escolares","Femenino",20,"Estudiante",223000,4
62,2025-12-25,"Cúcuta","Entrega de Kits Escolares","Masculino",4,"Lider Comunitario",41000,4
63,2025-01-21,"Pasto","Apoyo Psicosocial","Masculino",9,"Padre/Madre",156000,2
64,2024-10-26,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",7,"Lider Comunitario",37000,5
65,2024-09-20,"Arauca","Adecuación de Aulas","Masculino",8,"Lider Comunitario",144000,5
66,2025-10-09,"Pamplona","Taller de Gestión del Riesgo","Femenino",11,"Lider Comunitario",116000,3
67,2024-01-23,"Arauca","Formación a Docentes","Femenino",5,"Estudiante",18000,4
68,2025-04-26,"Tibú","Entrega de Kits Escolares","Masculino",15,"Lider Comunitario",16000,3
69,2024-06-02,"Ipiales","Formación a Docentes","Masculino",11,"Docente",216000,3
70,2025-06-11,"Cúcuta","Entrega de Kits Escolares","Masculino",20,"Docente",122000,4
71,2024-02-18,"Pasto","Entrega de Kits Escolares","Femenino",26,"Lider Comunitario",104000,5
72,2025-11-17,"Pamplona","Formación a Docentes","Masculino",12,"Estudiante",143000,5
73,2025-12-08,"Ipiales","Formación a Docentes","Femenino",21,"Padre/Madre",176000,4
74,2025-10-15,NA,"Entrega de Kits Escolares","mujer",19,"Lider Comunitario",77000,NA
75,2025-10-13,"Pamplona","Entrega de Kits Escolares","Femenino",24,"Lider Comunitario",134000,4
76,2024-12-05,"Pamplona","Entrega de Kits Escolares","Masculino",16,"Padre/Madre",43000,4
77,2025-08-30,"Bucaramanga","Adecuación de Aulas","F",9,"Docente",78000,5
78,2024-10-05,"Tibú","Adecuación de Aulas","Masculino",2,"Padre/Madre",187000,4
79,2025-02-28,"Pamplona","Taller de Gestión del Riesgo","Femenino",31,"Lider Comunitario",141000,5
80,2025-08-05,"Cúcuta","Taller de Gestión del Riesgo","Femenino",12,"Lider Comunitario",47000,3
81,2025-07-17,"Pamplona","Formación a Docentes","Femenino",7,"Padre/Madre",123000,4
82,2024-02-06,"Pamplona","Adecuación de Aulas","Masculino",11,"Estudiante",161000,2
83,2024-08-15,"Bucaramanga","Apoyo Psicosocial","F",4,"Padre/Madre",64000,4
84,2025-04-12,"Cúcuta","Adecuación de Aulas","Femenino",14,"Padre/Madre",225000,3
85,2024-04-26,"Bucaramanga","Formación a Docentes","Femenino",2,"Lider Comunitario",55000,2
86,2024-09-10,"Pasto","Adecuación de Aulas","hombre",23,"Padre/Madre",183000,3
87,2025-08-21,"Cúcuta","Taller de Gestión del Riesgo","Femenino",15,"Estudiante",172000,1
88,2024-04-26,"Tibú","Entrega de Kits Escolares","Masculino",13,"Lider Comunitario",54000,5
89,2025-11-06,"Arauca","Taller de Gestión del Riesgo","F",18,"Estudiante",109000,5
90,2025-08-08,"Pasto","Adecuación de Aulas","M",24,"Padre/Madre",94000,3
91,2025-04-12,"Bucaramanga","Formación a Docentes","Masculino",27,"Docente",71000,4
92,2024-06-12,"Pasto","Entrega de Kits Escolares","M",-5,"Lider Comunitario",121000,4
93,2025-05-24,"Pamplona","Taller de Gestión del Riesgo","F",24,"Docente",123000,4
94,2025-11-02,"Cúcuta ","Apoyo Psicosocial","M",29,"Lider Comunitario",99000,2
95,2025-06-14,"Bucaramanga","Formación a Docentes","Masculino",21,"Padre/Madre",240000,5
96,2024-06-18,"Ipiales","Entrega de Kits Escolares","Masculino",13,"Docente",132000,4
97,2024-08-05,"Pamplona","Apoyo Psicosocial","Femenino",15,"Docente",90000,5
98,2025-11-21,"Bucaramanga","Formación a Docentes","Femenino",22,"Docente",35000,4
99,2025-09-30,"Cúcuta","Entrega de Kits Escolares","Femenino",24,"Estudiante",117000,3
100,2024-05-27,"Bucaramanga","Apoyo Psicosocial","Femenino",22,"Docente",90000,1
101,2025-08-12,"Pasto","Formación a Docentes","Femenino",16,"Estudiante",74000,2
102,2025-02-08,"Pasto","Apoyo Psicosocial","Masculino",9,"Padre/Madre",250000,3
103,2025-04-26,"Arauca","Adecuación de Aulas","Masculino",13,"Padre/Madre",57000,4
104,2024-04-19,"Pasto","Entrega de Kits Escolares","Masculino",2,"Estudiante",248000,5
105,2024-07-28,"Cúcuta","Formación a Docentes","Masculino",24,"Padre/Madre",92000,4
106,2024-01-10,"Bucaramanga","Apoyo Psicosocial","No binario",27,"Estudiante",157000,4
107,2024-08-28,"Pamplona ","Formación a Docentes","Femenino",18,"Docente",NA,1
108,2024-01-18,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",9,"Docente",201000,5
109,2025-01-19,NA,"Formación a Docentes","Femenino",9,"Padre/Madre",149000,4
110,2024-06-06,"Arauca","Apoyo Psicosocial","Masculino",3,"Estudiante",145000,1
111,2025-11-22,"Pasto","Formación a Docentes","No binario",20,"Docente",243000,5
112,2024-10-10,"Cúcuta","Adecuación de Aulas","M",18,"Estudiante",50000,1
113,2024-06-25,"Arauca","Adecuación de Aulas","Femenino",7,"Estudiante",36000,3
114,2025-03-05,"Pasto","Formación a Docentes","F",26,"Estudiante",146000,3
115,2025-05-18,"Ipiales","Formación a Docentes","Masculino",36,"Estudiante",239000,5
116,2024-08-27,"Cúcuta","Formación a Docentes","F",18,"Lider Comunitario",87000,4
117,2024-01-06,"Arauca","Adecuación de Aulas","No binario",9,"Docente",230000,2
118,2024-03-30,"Pasto","Entrega de Kits Escolares","M",17,"Lider Comunitario",222000,4
119,2025-12-15,"Ipiales","Apoyo Psicosocial","Femenino",14,"Lider Comunitario",126000,5
120,2024-09-06,"Ipiales","Adecuación de Aulas","Femenino",32,"Docente",159000,4
121,2025-03-22,"Arauca","Entrega de Kits Escolares","Masculino",4,"Estudiante",114000,4
122,2024-11-03,"Bucaramanga","Formación a Docentes","M",9,"Docente",21000,5
123,2024-01-25,"Pamplona","Adecuación de Aulas","Masculino",7,"Padre/Madre",77000,1
124,2025-04-09,"Pamplona","Taller de Gestión del Riesgo","Femenino",1,"Estudiante",108000,1
125,2025-01-03,"Arauca","Entrega de Kits Escolares","Femenino",26,"Padre/Madre",194000,4
126,2025-03-15,"Bucaramanga","Entrega de Kits Escolares","F",-10,"Padre/Madre",204000,4
127,2024-04-30,"Pasto","Adecuación de Aulas","F",17,"Lider Comunitario",NA,2
128,2024-09-12,"Pasto","Apoyo Psicosocial","Femenino",-3,"Lider Comunitario",145000,4
129,2024-11-09,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",9,"Lider Comunitario",178000,4
130,2024-10-21,"Cúcuta","Entrega de Kits Escolares","Masculino",-6,"Padre/Madre",NA,4
131,2024-06-06,"Cúcuta","Adecuación de Aulas","Masculino",13,"Docente",122000,1
132,2024-10-27,"Pasto","Entrega de Kits Escolares","Masculino",9,"Estudiante",132000,2
133,2025-05-17,"Ipiales","Formación a Docentes","Femenino",39,"Estudiante",55000,5
134,2024-11-26,"Bucaramanga","Taller de Gestión del Riesgo","hombre",21,"Padre/Madre",39000,2
135,2025-03-04,"Arauca","Taller de Gestión del Riesgo","Masculino",18,"Estudiante",222000,2
136,2025-08-02,"Tibú","Apoyo Psicosocial","F",11,"Padre/Madre",105000,4
137,2025-07-10,"Cúcuta","Formación a Docentes","Femenino",24,"Docente",224000,3
138,2025-05-14,"Bucaramanga","Taller de Gestión del Riesgo","F",19,"Estudiante",205000,4
139,2024-06-30,"Pamplona","Entrega de Kits Escolares","Femenino",18,"Estudiante",138000,4
140,2025-11-01,"Bucaramanga","Entrega de Kits Escolares","Femenino",9,"Padre/Madre",113000,2
141,2024-02-22,"Cúcuta ","Formación a Docentes","Femenino",18,"Docente",36000,5
142,2024-11-01,"Arauca","Adecuación de Aulas","Femenino",20,"Estudiante",236000,5
143,2025-10-05,"Bucaramanga","Apoyo Psicosocial","F",-5,"Estudiante",1e+05,5
144,2025-03-13,"Bucaramanga","Apoyo Psicosocial","F",14,"Docente",98000,4
145,2024-01-05,"Pasto","Adecuación de Aulas","Femenino",20,"Estudiante",238000,5
146,2024-11-11,"Arauca","Apoyo Psicosocial","Masculino",6,"Docente",55000,5
147,2025-01-31,"Cúcuta","Adecuación de Aulas","Femenino",18,"Docente",25000,4
148,2024-01-28,"Bucaramanga","Taller de Gestión del Riesgo","F",18,"Lider Comunitario",49000,5
149,2024-10-23,"Ipiales","Formación a Docentes","Masculino",14,"Lider Comunitario",222000,4
150,2025-01-21,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",2,"Lider Comunitario",216000,4
151,2024-06-11,"Arauca","Formación a Docentes","No binario",11,"Padre/Madre",111000,3
152,2025-07-21,NA,"Formación a Docentes","Masculino",8,"Docente",59000,2
153,2025-04-04,"Bucaramanga","Formación a Docentes","Femenino",6,"Lider Comunitario",148000,3
154,2025-01-30,"Pamplona","Formación a Docentes","Masculino",21,"Lider Comunitario",131000,3
155,2024-05-31,"Cúcuta","Formación a Docentes","Masculino",2,"Lider Comunitario",131000,NA
156,2024-10-06,"Bucaramanga","Apoyo Psicosocial","Masculino",20,"Lider Comunitario",113000,3
157,2024-11-15,"Bucaramanga","Adecuación de Aulas","Masculino",-2,"Padre/Madre",65000,2
158,2025-12-15,"Pamplona","Adecuación de Aulas","M",17,"Padre/Madre",124000,2
159,2025-03-02,"Tibú","Adecuación de Aulas","Masculino",18,"Docente",198000,3
160,2024-10-24,"Cúcuta","Formación a Docentes","Masculino",5,"Estudiante",137000,5
161,2025-02-17,"Pamplona","Entrega de Kits Escolares","Femenino",14,"Docente",189000,1
162,2024-03-21,"Ipiales","Formación a Docentes","mujer",23,"Estudiante",56000,4
163,2025-12-13,"Cúcuta","Formación a Docentes","Masculino",10,"Padre/Madre",133000,5
164,2024-01-08,"Bucaramanga","Entrega de Kits Escolares","Femenino",14,"Lider Comunitario",136000,4
165,2025-02-19,"Pamplona","Apoyo Psicosocial","F",26,"Lider Comunitario",245000,4
166,2025-04-18,"Cúcuta","Adecuación de Aulas","Masculino",18,"Estudiante",169000,4
167,2025-01-22,"Cúcuta","Apoyo Psicosocial","Masculino",6,"Docente",79000,5
168,2025-08-29,"Pasto ","Apoyo Psicosocial","Masculino",14,"Padre/Madre",206000,4
169,2024-10-04,"Pasto","Entrega de Kits Escolares","Femenino",26,"Lider Comunitario",24000,NA
170,2025-03-03,"Bucaramanga","Entrega de Kits Escolares","M",23,"Docente",19000,5
171,2024-12-13,"Arauca","Apoyo Psicosocial","Masculino",15,"Docente",47000,5
172,2024-05-09,"Cúcuta","Entrega de Kits Escolares","No binario",10,"Estudiante",66000,NA
173,2025-01-16,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",9,"Estudiante",125000,4
174,2024-07-24,"Cúcuta","Taller de Gestión del Riesgo","No binario",8,"Lider Comunitario",NA,3
175,2025-07-12,"Pasto","Apoyo Psicosocial","Femenino",24,"Padre/Madre",212000,2
176,2025-04-12,"Cúcuta","Apoyo Psicosocial","Masculino",18,"Padre/Madre",51000,1
177,2025-11-10,"Bucaramanga","Formación a Docentes","Masculino",14,"Padre/Madre",140000,4
178,2025-02-11,"Tibú","Apoyo Psicosocial","Femenino",15,"Docente",220000,5
179,2025-10-04,"Pamplona","Entrega de Kits Escolares","Femenino",9,"Padre/Madre",125000,4
180,2025-11-29,"Pasto","Entrega de Kits Escolares","Femenino",14,"Docente",37000,4
181,2025-12-30,"Pamplona","Entrega de Kits Escolares","Femenino",8,"Lider Comunitario",16000,3
182,2024-07-02,"Tibú","Taller de Gestión del Riesgo","Femenino",21,"Docente",29000,4
183,2025-10-17,"Bucaramanga","Adecuación de Aulas","Femenino",33,"Padre/Madre",61000,5
184,2025-07-04,"Arauca","Entrega de Kits Escolares","Femenino",7,"Lider Comunitario",206000,5
185,2024-05-26,"Pamplona","Adecuación de Aulas","Femenino",33,"Lider Comunitario",72000,3
186,2025-11-09,"Pamplona","Formación a Docentes","Femenino",3,"Estudiante",203000,3
187,2024-08-09,"Bucaramanga","Apoyo Psicosocial","Femenino",150,"Estudiante",61000,5
188,2024-07-27,"Bucaramanga","Adecuación de Aulas","hombre",22,"Estudiante",72000,5
189,2024-05-24,"Pasto","Apoyo Psicosocial","Masculino",29,"Docente",114000,4
190,2025-05-13,"Tibú","Taller de Gestión del Riesgo","Masculino",-3,"Padre/Madre",154000,1
191,2024-02-27,"Pamplona","Formación a Docentes","Masculino",22,"Lider Comunitario",49000,4
192,2025-07-25,"Pamplona","Formación a Docentes","Femenino",2,"Lider Comunitario",156000,4
193,2024-10-11,"Cúcuta","Formación a Docentes","Femenino",25,"Docente",133000,4
194,2025-05-24,"Bucaramanga","Formación a Docentes","Femenino",23,"Estudiante",209000,3
195,2025-11-02,"Pasto","Apoyo Psicosocial","F",18,"Estudiante",17000,4
196,2024-12-27,"Pasto","Taller de Gestión del Riesgo","Masculino",16,"Lider Comunitario",16000,4
197,2024-07-04,"Bucaramanga","Entrega de Kits Escolares","Masculino",26,"Estudiante",241000,NA
198,2025-06-16,"Cúcuta","Formación a Docentes","mujer",22,"Padre/Madre",246000,4
199,2024-09-24,"Bucaramanga","Formación a Docentes","Masculino",9,"Lider Comunitario",17000,2
200,2025-03-19,"Arauca","Formación a Docentes","Femenino",36,"Padre/Madre",84000,2
201,2024-09-07,"Cúcuta","Entrega de Kits Escolares","Femenino",10,"Estudiante",160000,4
202,2025-09-03,"Arauca","Entrega de Kits Escolares","Femenino",15,"Estudiante",152000,5
203,2025-02-10,"Bucaramanga","Taller de Gestión del Riesgo","Femenino",21,"Padre/Madre",45000,NA
204,2024-06-17,"Arauca","Taller de Gestión del Riesgo","Masculino",5,"Estudiante",48000,3
205,2025-07-29,"Bucaramanga","Entrega de Kits Escolares","F",11,"Estudiante",131000,NA
206,2025-09-10,"Bucaramanga","Apoyo Psicosocial","Femenino",0,"Lider Comunitario",212000,4
207,2024-04-16,"Bucaramanga","Adecuación de Aulas","Masculino",15,"Lider Comunitario",144000,2
208,2024-02-09,"Arauca","Entrega de Kits Escolares","hombre",22,"Padre/Madre",104000,4
209,2024-04-07,"Cúcuta","Adecuación de Aulas","Masculino",15,"Lider Comunitario",153000,5
210,2025-03-27,"Bucaramanga","Formación a Docentes","Masculino",11,"Padre/Madre",NA,NA
211,2024-07-17,"Bucaramanga","Adecuación de Aulas","Femenino",16,"Padre/Madre",212000,4
212,2025-01-17,"Pasto","Formación a Docentes","F",8,"Lider Comunitario",58000,2
213,2025-03-26,"Bucaramanga","Entrega de Kits Escolares","Femenino",18,"Docente",NA,5
214,2024-01-16,"Pamplona","Apoyo Psicosocial","F",11,"Estudiante",94000,3
215,2025-03-19,"Cúcuta","Apoyo Psicosocial","F",15,"Lider Comunitario",215000,3
216,2024-11-28,"Arauca","Adecuación de Aulas","F",0,"Estudiante",159000,4
217,2025-02-18,"Bucaramanga","Entrega de Kits Escolares","Masculino",14,"Docente",112000,4
218,2025-07-30,"Cúcuta","Taller de Gestión del Riesgo","Masculino",15,"Lider Comunitario",79000,4
219,2025-11-13,"Cúcuta","Taller de Gestión del Riesgo","Masculino",6,"Docente",236000,5
220,2024-12-02,"Bucaramanga","Formación a Docentes","Femenino",18,"Lider Comunitario",20000,3
221,2025-09-20,"Pamplona","Apoyo Psicosocial","mujer",12,"Docente",42000,4
222,2025-06-11,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",6,"Estudiante",133000,4
223,2024-03-30,"Bucaramanga","Apoyo Psicosocial","M",3,"Lider Comunitario",86000,3
224,2024-02-22,"Pamplona","Apoyo Psicosocial","mujer",17,"Lider Comunitario",175000,4
225,2025-01-17,"Pasto","Formación a Docentes","Femenino",6,"Estudiante",87000,4
226,2024-07-16,"Bucaramanga","Entrega de Kits Escolares","Femenino",26,"Lider Comunitario",NA,4
227,2025-05-30,"Bucaramanga","Adecuación de Aulas","Femenino",7,"Padre/Madre",244000,NA
228,2024-12-10,"Bucaramanga","Formación a Docentes","Femenino",8,"Docente",16000,2
229,2025-07-17,"Tibú","Formación a Docentes","Masculino",-7,"Lider Comunitario",135000,3
230,2024-09-25,"Ipiales","Adecuación de Aulas","Femenino",4,"Padre/Madre",165000,3
231,2024-03-11,"Pasto","Taller de Gestión del Riesgo","hombre",19,"Padre/Madre",35000,5
232,2024-07-21,"Bucaramanga","Formación a Docentes","Masculino",30,"Padre/Madre",38000,5
233,2024-01-02,"Pamplona","Taller de Gestión del Riesgo","Femenino",14,"Docente",157000,4
234,2025-05-24,"Ipiales","Entrega de Kits Escolares","Masculino",31,"Lider Comunitario",229000,5
235,2024-03-13,"Bucaramanga","Entrega de Kits Escolares","M",9,"Lider Comunitario",55000,4
236,2025-11-12,"Cúcuta","Adecuación de Aulas","Masculino",29,"Docente",34000,2
237,2025-12-17,"Cúcuta","Formación a Docentes","Femenino",9,"Estudiante",209000,3
238,2025-03-25,"Tibú","Adecuación de Aulas","Masculino",17,"Estudiante",211000,4
239,2025-12-19,"Cúcuta","Taller de Gestión del Riesgo","Masculino",28,"Padre/Madre",62000,4
240,2024-07-29,"Cúcuta","Formación a Docentes","Masculino",21,"Estudiante",105000,5
241,2025-09-24,"Bucaramanga","Apoyo Psicosocial","Femenino",-11,"Lider Comunitario",NA,4
242,2025-11-06,"Bucaramanga","Adecuación de Aulas","Femenino",4,"Lider Comunitario",136000,3
243,2025-10-16,"Bucaramanga","Taller de Gestión del Riesgo","Femenino",7,"Lider Comunitario",63000,3
244,2024-06-03,"Pamplona","Taller de Gestión del Riesgo","Femenino",28,"Padre/Madre",95000,2
245,2024-08-10,NA,"Entrega de Kits Escolares","Femenino",5,"Estudiante",60000,5
246,2025-07-26,NA,"Formación a Docentes","F",2,"Estudiante",244000,2
247,2024-04-25,"Bucaramanga","Entrega de Kits Escolares","Masculino",13,"Padre/Madre",170000,4
248,2024-09-17,"Pamplona","Adecuación de Aulas","Femenino",-1,"Docente",238000,5
249,2025-07-07,"Bucaramanga","Entrega de Kits Escolares","Femenino",12,"Docente",238000,3
250,2024-05-27,"Bucaramanga","Entrega de Kits Escolares","Femenino",15,"Padre/Madre",179000,5
251,2024-09-30,"Cúcuta","Apoyo Psicosocial","Femenino",0,"Estudiante",172000,4
252,2024-05-21,"Arauca","Entrega de Kits Escolares","M",9,"Padre/Madre",55000,4
253,2024-11-29,"Pamplona","Taller de Gestión del Riesgo","Femenino",13,"Docente",1e+05,1
254,2024-06-04,"Bucaramanga","Entrega de Kits Escolares","Femenino",36,"Docente",142000,3
255,2025-07-15,"Arauca","Taller de Gestión del Riesgo","Femenino",19,"Docente",156000,3
256,2024-07-29,"Arauca","Taller de Gestión del Riesgo","F",15,"Lider Comunitario",44000,3
257,2024-08-20,"Bucaramanga","Adecuación de Aulas","Masculino",21,"Docente",167000,4
258,2025-09-13,"Pasto","Apoyo Psicosocial","Masculino",8,"Lider Comunitario",20000,4
259,2024-10-07,"Ipiales","Formación a Docentes","Femenino",11,"Docente",175000,2
260,2024-05-14,"Arauca","Taller de Gestión del Riesgo","Femenino",9,"Docente",174000,4
261,2024-07-05,"Pasto","Apoyo Psicosocial","Masculino",-1,"Padre/Madre",78000,2
262,2024-04-13,"Ipiales","Formación a Docentes","Femenino",11,"Estudiante",129000,4
263,2025-12-11,"Arauca","Apoyo Psicosocial","Femenino",-3,"Lider Comunitario",230000,2
264,2024-07-21,"Bucaramanga","Formación a Docentes","Femenino",3,"Lider Comunitario",221000,2
265,2025-09-07,"Pasto","Entrega de Kits Escolares","No binario",8,"Lider Comunitario",144000,1
266,2025-10-07,"Bucaramanga","Entrega de Kits Escolares","Masculino",-9,"Docente",NA,4
267,2025-06-07,"Bucaramanga","Entrega de Kits Escolares","Masculino",4,"Padre/Madre",130000,4
268,2024-08-12,"Bucaramanga","Taller de Gestión del Riesgo","Femenino",17,"Docente",NA,5
269,2025-11-26,"Arauca","Entrega de Kits Escolares","Masculino",5,"Padre/Madre",96000,3
270,2025-06-05,"Ipiales","Taller de Gestión del Riesgo","Femenino",16,"Estudiante",209000,5
271,2025-03-08,"Bucaramanga","Entrega de Kits Escolares","M",23,"Docente",184000,4
272,2024-07-05,"Cúcuta","Formación a Docentes","Masculino",9,"Docente",28000,5
273,2025-09-22,"Cúcuta","Formación a Docentes","Femenino",1,"Lider Comunitario",62000,4
274,2024-02-28,"Bucaramanga","Entrega de Kits Escolares","Femenino",32,"Padre/Madre",28000,NA
275,2024-02-13,"Ipiales","Formación a Docentes","F",11,"Lider Comunitario",111000,4
276,2024-02-10,"Arauca","Entrega de Kits Escolares","hombre",-16,"Docente",NA,3
277,2025-12-07,"Cúcuta","Entrega de Kits Escolares","Femenino",12,"Estudiante",16000,5
278,2024-04-03,"Cúcuta","Entrega de Kits Escolares","Femenino",2,"Padre/Madre",115000,1
279,2024-05-24,"Pamplona","Entrega de Kits Escolares","Masculino",19,"Padre/Madre",229000,4
280,2025-09-12,"Pasto","Entrega de Kits Escolares","Masculino",2,"Lider Comunitario",230000,4
281,2024-05-05,"Tibú","Taller de Gestión del Riesgo","Femenino",14,"Lider Comunitario",98000,4
282,2025-08-07,"Ipiales","Adecuación de Aulas","mujer",42,"Lider Comunitario",112000,5
283,2025-01-12,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",2,"Estudiante",17000,5
284,2025-07-21,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",21,"Estudiante",105000,4
285,2025-07-22,"Bucaramanga","Entrega de Kits Escolares","Masculino",10,"Estudiante",160000,2
286,2024-10-31,"Cúcuta","Adecuación de Aulas","Masculino",17,"Estudiante",214000,3
287,2024-01-26,"Cúcuta","Apoyo Psicosocial","M",0,"Padre/Madre",205000,NA
288,2025-02-20,NA,"Adecuación de Aulas","Femenino",13,"Lider Comunitario",56000,1
289,2024-05-23,"Cúcuta","Apoyo Psicosocial","Femenino",26,"Lider Comunitario",116000,2
